,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44945,Uwe Hünemeier,0,0,17,2,0,1,0.9,-0.3806110463735468
44946,Francis Coquelin,0,0,911,3,2,27,34.4,30.065772500954253
44947,Anthony Martial,7,7,1673,4,10,125,171.6,184.85805783177528
44948,Christopher Schindler,0,0,956,2,4,32,38.9,30.849913218298667
44949,Dominic Calvert-Lewin,1,0,231,5,0,16,11.8,17.62992290009451
44950,Fraser Forster,0,0,5220,1,18,207,105.3,130.2684706378568
44951,Fabian Delph,2,1,1506,3,5,55,67.6,78.37594403456917
44952,Kevin Mirallas,4,8,1719,4,9,111,170.5,169.88611927928577
44953,Romain Saïss,2,0,956,3,3,46,50.7,52.569350873565355
44954,Alisson Ramses Becker,0,0,1080,1,7,63,20.9,15.188492141169831
44955,Luka Milivojevic,3,0,1963,3,5,66,75.1,90.89182361686716
44956,Rob Holding,0,0,1073,2,5,40,42.9,35.19101891874316
44957,Orestis Karnezis,0,0,31,1,0,2,0.1,-2.135498329948529
44958,Nordin Amrabat,0,3,2289,4,5,71,121.9,105.86109280413508
44959,Trent Alexander-Arnold,1,0,786,2,3,39,53.0,33.59048110079033
44960,James Tomkins,6,0,4540,2,16,187,184.2,188.2356478763881
